"age","years_exp","search_rank","pandascore_id","birth_country","college","espn_id","birth_date","injury_notes","search_first_name","player_id","hashtag","stats_id","news_updated","active","sport","fantasy_data_id","competitions","practice_description","yahoo_id","last_name","opta_id","birth_state","gsis_id","status","depth_chart_order","height","injury_start_date","fantasy_positions","search_full_name","high_school","sportradar_id","kalshi_id","practice_participation","team_abbr","team","oddsjam_id","rotoworld_id","birth_city","metadata","first_name","injury_status","swish_id","depth_chart_position","team_changed_at","position","search_last_name","number","full_name","weight","injury_body_part","rotowire_id","dupes"
NA,4,NA,NA,"DOM","",41874,"1996-04-15","","dauri","1946","#daurimoreta-MLB-PIT-36",NA,1758817511418,"True","mlb",NA,"[]",NA,NA,"Moreta",NA,"",NA,"A",NA,74,NA,"","daurimoreta","","40b963c6-1da3-4fbd-986d-1505e38ac136",NA,NA,NA,"PIT","F5583CE5B546",NA,"Comendador","{'bat_hand': 'R', 'channel_id': '1157161314561327104', 'full_name': 'Dauri Moreta', 'pro_debut': '2021-09-26', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T02:35:03+00:00'}","Dauri","",664294,NA,NA,"RP","moreta",36,"Dauri Moreta",225,"",17632,1
NA,10,NA,NA,"USA","Sonoma State",33123,"1989-07-10","","scott","2591","#scottalexander-MLB-SF-54",NA,1752867939044,"True","mlb",NA,"[]",NA,NA,"Alexander",NA,"CA",NA,"A",NA,74,NA,"","scottalexander","Cardinal Newman (CA)","042c8b24-768e-4c51-9dc3-b7d441a7165c",NA,NA,NA,"SF","526AC6A2F20D",NA,"Santa Rosa","{'bat_hand': 'L', 'channel_id': '1157161209246547968', 'full_name': 'Scott Alexander', 'pro_debut': '2015-09-02', 'rookie_year': '2015', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-06T05:16:32+00:00'}","Scott","",518397,NA,NA,"RP","alexander",54,"Scott Alexander",195,"",11684,1
NA,1,NA,NA,"VEN","",4917869,"2004-03-11","","jackson","3089","#jacksonchourio-MLB-MIL-11",NA,1758982222817,"True","mlb",NA,"[]",NA,NA,"Chourio",NA,"",NA,"A",NA,72,NA,"","jacksonchourio","","87128c5c-da3c-4fe6-9f04-83d6f8dc1302",NA,NA,NA,"MIL","3243050DCD35",NA,"Maracaibo","{'bat_hand': 'R', 'channel_id': '1157161627158609920', 'full_name': 'Jackson Chourio', 'pro_debut': '2024-03-29', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-30T15:40:37+00:00'}","Jackson","",694192,NA,NA,"CF","chourio",11,"Jackson Chourio",204,"",16755,1
NA,2,NA,NA,"USA","New Haven",4917841,"1994-12-01","","josh","2856","#joshwalker-MLB-BAL",NA,1755801019189,"True","mlb",NA,"[]",NA,NA,"Walker",NA,"NY",NA,"A",NA,78,NA,"","joshwalker","Minisink Valley (NY)","c92922c5-d34e-4799-a78c-7a73f911fbbd",NA,NA,NA,"BAL","62C7F0354C8D",NA,"Otisville","{'bat_hand': 'L', 'channel_id': '1199824313423777792', 'full_name': 'Josh Walker', 'pro_debut': '2023-05-16', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-10-01T03:54:30+00:00'}","Josh","",677020,NA,NA,"RP","walker",NA,"Josh Walker",225,"",17807,1
NA,0,NA,NA,"USA","Rio Hondo Junior College",5131743,"2000-11-07","","rafael","3557","#rafaelflores-MLB-PIT-43",NA,1758202517442,"True","mlb",NA,"[]",NA,NA,"Flores",NA,"CA",NA,"A",NA,75,NA,"","rafaelflores","Katella (CA)","06835195-c17f-4917-b13e-ea6ede97c2b3",NA,NA,NA,"PIT","",NA,"Anaheim","{'bat_hand': 'R', 'channel_id': '1273759425311543296', 'full_name': 'Rafael Flores', 'pro_debut': '2025-09-17', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-18T14:54:57+00:00'}","Rafael","",NA,NA,NA,"C","flores",43,"Rafael Flores",220,"",19785,1
NA,0,NA,NA,"COL","",5291189,"2005-06-17","Inflammation","didier","3479","#didierfuentes-MLB-ATL-75",NA,1755480360342,"True","mlb",NA,"[]",NA,NA,"Fuentes",NA,"",NA,"A",NA,72,NA,"","didierfuentes","","87482134-cb59-42e7-88f4-c81807c07918",NA,NA,NA,"ATL","",NA,"Tolu","{'bat_hand': 'R', 'channel_id': '1241627752218513408', 'full_name': 'Didier Fuentes', 'pro_debut': '2025-06-20', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-30T22:04:06+00:00'}","Didier","Out",NA,NA,NA,"SP","fuentes",75,"Didier Fuentes",170,"Shoulder",18747,1
NA,1,NA,NA,"DOM","",42548,"2001-07-15","","jhonkensy","1631","#jhonkensynoel-MLB-CLE-43",NA,1758280821207,"True","mlb",NA,"[]",NA,NA,"Noel",NA,"",NA,"A",NA,75,NA,"","jhonkensynoel","","3662b6e6-e420-4b58-8407-a3cd0fed6a52",NA,NA,NA,"CLE","D68753CF633D",NA,"San Pedro de Macoris","{'bat_hand': 'R', 'channel_id': '1157161408434044928', 'full_name': 'Jhonkensy Noel', 'pro_debut': '2024-06-26', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-01T14:43:47+00:00'}","Jhonkensy","",678877,NA,NA,"RF","noel",43,"Jhonkensy Noel",250,"",16470,1
NA,0,NA,NA,"USA","",5080771,"2003-12-07","","sal","3540","#salstewart-MLB-CIN-43",NA,1759032326640,"True","mlb",NA,"[]",NA,NA,"Stewart",NA,"FL",NA,"A",NA,73,NA,"","salstewart","Westminster Christian (FL)","fdf3f29c-157e-46ff-ae18-b1ebbd961ea8",NA,NA,NA,"CIN","",NA,"Miami","{'bat_hand': 'R', 'channel_id': '1268248204546154496', 'full_name': 'Sal Stewart', 'pro_debut': '2025-09-01', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-05T13:55:21+00:00'}","Sal","",NA,NA,NA,"3B","stewart",43,"Sal Stewart",215,"",17992,1
NA,3,NA,NA,"USA","Cal State Northridge",41807,"1995-07-09","","kenny","2310","#kennyrosenberg-MLB-LAA-78",NA,1732590931902,"True","mlb",NA,"[]",NA,NA,"Rosenberg",NA,"NY",NA,"A",NA,73,NA,"","kennyrosenberg","Tamalpais (CA)","1780396a-30a4-4527-a6cc-59e74dc5c5e4",NA,NA,NA,"LAA","10F1B386C12B",NA,"New York","{'bat_hand': 'L', 'channel_id': '1157161334593323008', 'full_name': 'Kenny Rosenberg', 'pro_debut': '2022-04-18', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-09-17T00:10:43+00:00'}","Kenny","",670046,NA,NA,"RP","rosenberg",78,"Kenny Rosenberg",195,"",17715,1
NA,0,NA,NA,"DOM","",4710478,"2003-06-22","","jose","3057","#josecorniell-MLB-TEX-59",NA,1758928219642,"True","mlb",NA,"[]",NA,NA,"Corniell",NA,"",NA,"A",NA,75,NA,"","josecorniell","","a4a83745-4b17-429e-881b-8325304570bb",NA,NA,NA,"TEX","6B8ADE0F0146",NA,"Santo Domingo","{'bat_hand': 'R', 'channel_id': '1157161611115397120', 'full_name': 'Jose Corniell', 'pro_debut': '2025-09-28', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-30T16:59:41+00:00'}","Jose","",692030,NA,NA,"SP","corniell",59,"Jose Corniell",165,"",17147,1
NA,0,NA,NA,"USA","",5203596,"2001-01-09","Not Specified","tyler","3338","#tylerowens-MLB-DET-62",NA,1754409656542,"False","mlb",NA,"[]",NA,NA,"Owens",NA,"FL",NA,"MIN",NA,70,NA,"","tylerowens","Trinity Catholic (FL)","ce43d16c-9472-4166-8eb9-cec4e97217f6",NA,NA,NA,"DET","9D65255BFE33692E",NA,"Ocala","{'bat_hand': 'R', 'channel_id': '1199824310521319426', 'full_name': 'Tyler Owens', 'pro_debut': '2025-05-01', 'rookie_year': '2025', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-07-29T20:17:52+00:00'}","Tyler","IL60",NA,NA,NA,"SP","owens",62,"Tyler Owens",185,"Hip",16225,1
NA,0,NA,NA,"DOM","",42211,"1999-02-23","","elvis","3317","#elvisalvarado-MLB-ATH-61",NA,1759070129472,"True","mlb",NA,"[]",NA,NA,"Alvarado",NA,"",NA,"A",NA,76,NA,"","elvisalvarado","","221b2527-fb5b-4b78-9afa-d6a7ae92cf1e",NA,NA,NA,"ATH","ADCD7964F8E2391C",NA,"Sabaneta","{'bat_hand': 'R', 'channel_id': '1199824310085111808', 'full_name': 'Elvis Alvarado', 'pro_debut': '2025-05-09', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-29T20:16:07+00:00'}","Elvis","",NA,NA,NA,"RP","alvarado",61,"Elvis Alvarado",183,"",13995,1
NA,NA,NA,NA,"USA","Stetson",37496,"","","patrick","2204","#patrickmazeika-MLB-SF",NA,NA,"False","mlb",NA,"[]",NA,NA,"Mazeika",NA,"MA",NA,"MIN",NA,75,NA,"","patrickmazeika","Salisbury (CT)","555f0133-4ad6-49f6-a6d9-4b05ea3bb0f7",NA,NA,NA,"SF","",NA,"Wilbraham","{'bat_hand': 'L', 'full_name': 'Patrick Mazeika', 'pro_debut': '2021-04-11', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2022-08-21T18:17:46+00:00'}","Patrick","",664850,NA,NA,"C","mazeika",NA,"Patrick Mazeika",210,"",NA,1
NA,6,NA,NA,"CAN","",NA,"1999-03-16","","vladimir","1093","#vladimirguerrero-MLB-TOR-27",NA,1758489931534,"True","mlb",NA,"[]",NA,NA,"Guerrero",NA,"QC",NA,"A",NA,72,NA,"","vladimirguerrero","","fa26a373-a427-4558-ba5e-6d6c0f0148c5",NA,NA,NA,"TOR","E3AD11E778A0",NA,"Montreal","{'bat_hand': 'R', 'channel_id': '1157161141785362432', 'full_name': 'Vladimir Guerrero Jr.', 'pro_debut': '2019-04-26', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-23T16:51:29+00:00'}","Vladimir","",665489,NA,NA,"1B","guerrero",27,"Vladimir Guerrero",245,"",13962,1
NA,4,NA,NA,"USA","Notre Dame",3896017,"1995-12-29","Surgery","sean","1027","#seanguenther-MLB-DET-73",NA,1751829620329,"True","mlb",NA,"[]",NA,NA,"Guenther",NA,"GA",NA,"D60",NA,71,NA,"","seanguenther","Marist School (GA)","2f30fa8d-c4f7-42c2-8509-1a4feb3daa04",NA,NA,NA,"DET","60680768748E",NA,"Atlanta","{'bat_hand': 'L', 'channel_id': '1157161373680041984', 'full_name': 'Sean Guenther', 'pro_debut': '2021-08-04', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-07-06T16:34:15+00:00'}","Sean","IL60",674944,NA,NA,"RP","guenther",73,"Sean Guenther",194,"Hip",17598,1
NA,2,NA,NA,"USA","",42536,"2001-11-11","","kyren","2964","#kyrenparis-MLB-LAA-19",NA,1758585636505,"True","mlb",NA,"[]",NA,NA,"Paris",NA,"CA",NA,"A",NA,71,NA,"","kyrenparis","Freedom (CA)","a83acb07-f3c9-4e59-bc61-d33a6eb8b0d3",NA,NA,NA,"LAA","D958DEB14B51",NA,"Oakley","{'bat_hand': 'R', 'channel_id': '1157161321234464768', 'full_name': 'Kyren Paris', 'pro_debut': '2023-09-01', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T02:36:43+00:00'}","Kyren","",677347,NA,NA,"CF","paris",19,"Kyren Paris",180,"",16110,1
NA,8,NA,NA,"USA","N.J.I.T.",NA,"1991-03-13","","mark","2304","#markleiter-MLB-NYY-56",NA,1754414756837,"True","mlb",NA,"[]",NA,NA,"Leiter",NA,"FL",NA,"A",NA,72,NA,"","markleiter","Toms River North (NJ)","3f24039c-5b79-4724-9db7-31609917c462",NA,NA,NA,"NYY","131A078DE791",NA,"Fort Lauderdale","{'bat_hand': 'R', 'channel_id': '1157161477665226752', 'full_name': 'Mark Leiter Jr.', 'pro_debut': '2017-04-28', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-05T17:15:29+00:00'}","Mark","",643410,NA,NA,"RP","leiter",56,"Mark Leiter",210,"",14744,1
NA,9,NA,NA,"USA","Virginia Tech",33691,"1991-03-01","","joe","1196","#joemantiply-MLB-AZ-35",NA,1752515718203,"False","mlb",NA,"[]",NA,NA,"Mantiply",NA,"VA",NA,"MIN",NA,76,NA,"","joemantiply","Tunstall (VA) ","225568a7-e1a6-41a0-9ae0-6361d63449dc",NA,NA,NA,"AZ","D227B0A88E4F",NA,"Danville","{'bat_hand': 'R', 'channel_id': '1157161192880373760', 'full_name': 'Joe Mantiply', 'pro_debut': '2016-09-03', 'rookie_year': '2016', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-05-16T00:29:38+00:00'}","Joe","",573009,NA,NA,"RP","mantiply",35,"Joe Mantiply",219,"",14542,1
NA,NA,NA,NA,"USA","",31462,"","","drew","2263","#drewhutchison-MLB-DET-40",NA,NA,"True","mlb",NA,"[]",NA,NA,"Hutchison",NA,"FL",NA,"A",NA,75,NA,"","drewhutchison","Lakeland Senior (FL)","f11efc76-62f5-4396-b145-e03839fd4d1c",NA,NA,NA,"DET","",NA,"Lakeland","{'bat_hand': 'L', 'full_name': 'Drew Hutchison', 'pro_debut': '2012-04-21', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-07-19T18:38:11+00:00'}","Drew","",571800,NA,NA,"SP","hutchison",40,"Drew Hutchison",215,"",NA,1
NA,10,NA,NA,"DOM","",32512,"1993-10-12","","ketel","1176","#ketelmarte-MLB-AZ-4",NA,1759102531866,"True","mlb",NA,"[]",NA,NA,"Marte",NA,"",NA,"A",NA,72,NA,"","ketelmarte","","04b68b54-6217-4436-b3e8-bed6d3bd4942",NA,NA,NA,"AZ","A460B9BFCF8C",NA,"Nizao","{'bat_hand': 'B', 'channel_id': '1157161183103451136', 'full_name': 'Ketel Marte', 'pro_debut': '2015-07-31', 'rookie_year': '2015', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-20T18:19:52+00:00'}","Ketel","",606466,NA,NA,"2B","marte",4,"Ketel Marte",210,"",13183,1
NA,NA,NA,NA,"USA","LSU",43395,"","","parker","2565","#parkerbugg-MLB-MIA-87",NA,NA,"True","mlb",NA,"[]",NA,NA,"Bugg",NA,"KY",NA,"A",NA,78,NA,"","parkerbugg","Rancho Bernardo (CA)","b3d9c382-e319-489b-9782-7e1f8befd08b",NA,NA,NA,"MIA","",NA,"Louisville","{'bat_hand': 'R', 'full_name': 'Parker Bugg', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-08-14T16:47:54+00:00'}","Parker","",643239,NA,NA,"RP","bugg",87,"Parker Bugg",210,"",NA,1
NA,6,NA,NA,"USA","Mississippi State",38680,"1994-09-15","","dakota","1353","#dakotahudson-MLB-COL-32",NA,1741107646583,"False","mlb",NA,"[]",NA,NA,"Hudson",NA,"TN",NA,"D60",NA,77,NA,"","dakotahudson","Sequatchie County (TN)","fd954c71-a360-41d8-846e-7faf831b6256",NA,NA,NA,"COL","7003182A4856",NA,"Chattanooga","{'bat_hand': 'R', 'full_name': 'Dakota Hudson', 'pro_debut': '2018-07-28', 'rookie_year': '2018', 'status': 'D60', 'throw_hand': 'R', 'updated': '2024-09-05T19:32:02+00:00'}","Dakota","",641712,NA,NA,"SP","hudson",32,"Dakota Hudson",215,"",14240,1
NA,9,NA,NA,"USA","",33190,"1993-08-23","","tyler","1900","#tylerglasnow-MLB-LAD-31",NA,1759065628944,"True","mlb",NA,"[]",NA,NA,"Glasnow",NA,"CA",NA,"A",NA,80,NA,"","tylerglasnow","William S. Hart (CA)","81125861-72f8-461c-b7c2-46fc460a7115",NA,NA,NA,"LAD","F3B873CFF3D7",NA,"Newhall","{'bat_hand': 'L', 'channel_id': '1157161674126426112', 'full_name': 'Tyler Glasnow', 'pro_debut': '2016-07-07', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-09T17:05:08+00:00'}","Tyler","",607192,NA,NA,"SP","glasnow",31,"Tyler Glasnow",225,"",12248,1
NA,9,NA,NA,"USA","",32797,"1994-07-14","","carson","1169","#carsonkelly-MLB-CHC-15",NA,1758906617697,"True","mlb",NA,"[]",NA,NA,"Kelly",NA,"IL",NA,"A",NA,73,NA,"","carsonkelly","Westview (OR)","d421cd0d-43d1-41fa-9ef0-8bf1bb2442aa",NA,NA,NA,"CHC","5F72D5E42F10",NA,"Chicago","{'bat_hand': 'R', 'channel_id': '1157161601338474496', 'full_name': 'Carson Kelly', 'pro_debut': '2016-09-05', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-25T00:23:46+00:00'}","Carson","",608348,NA,NA,"C","kelly",15,"Carson Kelly",212,"",12494,1
NA,0,NA,NA,"USA","Iowa",5136082,"1999-02-27","","jack","3383","#jackdreyer-MLB-LAD-86",NA,1758431428941,"True","mlb",NA,"[]",NA,NA,"Dreyer",NA,"UT",NA,"A",NA,74,NA,"","jackdreyer","Johnston (IA)","03ba898a-7dc9-4937-b4f2-bd45e5978569",NA,NA,NA,"LAD","127CB1806A7233E1",NA,"Salt Lake City","{'bat_hand': 'R', 'channel_id': '1199824311335014400', 'full_name': 'Jack Dreyer', 'pro_debut': '2025-03-19', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-29T20:01:27+00:00'}","Jack","",NA,NA,NA,"RP","dreyer",86,"Jack Dreyer",205,"",19463,1
NA,2,NA,NA,"USA","Wright State",42428,"1997-02-26","","peyton","2552","#peytonburdick-MLB-CIN",NA,1735226122714,"False","mlb",NA,"[]",NA,NA,"Burdick",NA,"OH",NA,"MIN",NA,72,NA,"","peytonburdick","Glen Este (OH)","9f749a61-4994-43d1-9190-9cade307e04b",NA,NA,NA,"CIN","142A852F2A48",NA,"Batavia","{'bat_hand': 'R', 'full_name': 'Peyton Burdick', 'pro_debut': '2022-08-05', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2024-04-24T18:42:48+00:00'}","Peyton","",680814,NA,NA,"CF","burdick",NA,"Peyton Burdick",205,"",16230,1
NA,2,NA,NA,"AUS","",42360,"2000-10-26","","curtis","2754","#curtismead-MLB-CWS-29",NA,1757542851155,"True","mlb",NA,"[]",NA,NA,"Mead",NA,"",NA,"A",NA,73,NA,"","curtismead","","1e4ef041-1061-4300-a43c-d58eaf36a3f1",NA,NA,NA,"CWS","7AD6CA2A26FF",NA,"Adelaide","{'bat_hand': 'R', 'channel_id': '1157161527199956992', 'full_name': 'Curtis Mead', 'pro_debut': '2023-08-04', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-03T18:37:14+00:00'}","Curtis","",678554,NA,NA,"1B","mead",29,"Curtis Mead",225,"",16499,1
NA,NA,NA,NA,"USA","Clemson",39663,"","","paul","1023","#paulcampbell-MLB-MIA-53",NA,NA,"False","mlb",NA,"[]",NA,NA,"Campbell",NA,"MA",NA,"D60",NA,72,NA,"","paulcampbell","Salisbury School (CT)","560c5208-1ad3-451f-8fc1-3c61c12c47a2",NA,NA,NA,"MIA","",NA,"Malden","{'bat_hand': 'L', 'full_name': 'Paul Campbell', 'pro_debut': '2021-04-03', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2022-05-26T23:35:32+00:00'}","Paul","",669294,NA,NA,"RP","campbell",53,"Paul Campbell",210,"",16649,1
NA,7,NA,NA,"USA","",33572,"1995-03-23","","isiah","1751","#isiahkinerfalefa-MLB-TOR-7",NA,1756662635311,"True","mlb",NA,"[]",NA,NA,"Kiner-Falefa",NA,"HI",NA,"A",NA,70,NA,"","isiahkinerfalefa","Mid-Pacific Institute (HI)","283f2c57-6441-4173-b5a0-728e46b8c894",NA,NA,NA,"TOR","C2EB7C7AB4D1",NA,"Honolulu","{'bat_hand': 'R', 'channel_id': '1157161302095855616', 'full_name': 'Isiah Kiner-Falefa', 'pro_debut': '2018-04-10', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-01T15:31:23+00:00'}","Isiah","",643396,NA,NA,"SS","kinerfalefa",7,"Isiah Kiner-Falefa",195,"",15245,1
NA,NA,NA,NA,"DOM","",42460,"2000-01-12","","julio","2684","#juliocarreras-MLB-COL-83",NA,1716328215290,"False","mlb",NA,"[]",NA,NA,"Carreras",NA,"",NA,"MIN",NA,73,NA,"","juliocarreras","","b4bfb631-0c2b-4bd3-ae9d-6e157e1de7ee",NA,NA,NA,"COL","623F29B4C209",NA,"Sabana Grande de Boya","{'bat_hand': 'R', 'full_name': 'Julio Carreras', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2024-03-21T00:18:34+00:00'}","Julio","",679734,NA,NA,"3B","carreras",83,"Julio Carreras",190,"",16463,1
NA,15,NA,NA,"USA","North Carolina",30158,"1985-06-25","","daniel","1266","#danielbard-MLB-COL-52",NA,1753052451014,"False","mlb",NA,"[]",NA,NA,"Bard",NA,"TX",NA,"D60",NA,76,NA,"","danielbard","Charlotte Christian (NC)","10677fbd-6f12-4f65-bd28-34ece6d885e2",NA,NA,NA,"COL","C7230A2141B0",NA,"Houston","{'bat_hand': 'R', 'channel_id': '1157161227797954560', 'full_name': 'Daniel Bard', 'pro_debut': '2009-05-13', 'rookie_year': '2009', 'status': 'D60', 'throw_hand': 'R', 'updated': '2024-04-21T15:50:43+00:00'}","Daniel","",453268,NA,NA,"RP","bard",52,"Daniel Bard",215,"",9283,1
NA,0,NA,NA,"USA","Ole Miss",4414160,"1999-08-11","","doug","3345","#dougnikhazy-MLB-CLE-65",NA,1757359840120,"True","mlb",NA,"[]",NA,NA,"Nikhazy",NA,"NC",NA,"MIN",NA,72,NA,"","dougnikhazy","West Orange (FL)","f1f4dcb3-7530-404a-b77f-efb6e482c5f5",NA,NA,NA,"CLE","558C63E6D0E2A7FF",NA,"Burlington","{'bat_hand': 'L', 'channel_id': '1199824310814920704', 'full_name': 'Doug Nikhazy', 'pro_debut': '2025-04-26', 'rookie_year': '2025', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-07-29T21:10:24+00:00'}","Doug","",NA,NA,NA,"SP","nikhazy",65,"Doug Nikhazy",210,"",17351,1
NA,NA,NA,NA,"USA","",39874,"","","art","1953","#artwarren-MLB-CIN-77",NA,NA,"True","mlb",NA,"[]",NA,NA,"Warren",NA,"OH",NA,"A",NA,75,NA,"","artwarren","Ashland (OH)","1d609868-fe26-4ce4-89e6-e0f3aa278200",NA,NA,NA,"CIN","",NA,"Defiance","{'bat_hand': 'R', 'full_name': 'Art Warren', 'pro_debut': '2019-09-12', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-11-08T19:16:52+00:00'}","Art","",605521,NA,NA,"RP","warren",77,"Art Warren",230,"",NA,1
NA,NA,NA,NA,"USA","Loyola Marymount",NA,"1998-10-18","","nick","3067","#nickfrasso-MLB-LAD-79",NA,1759012825122,"True","mlb",NA,"[]",NA,NA,"Frasso",NA,"CA",NA,"D60",NA,77,NA,"","nickfrasso","Palos Verdes Peninsula (CA)","08fb3f85-74eb-4073-9430-890582a25643",NA,NA,NA,"LAD","88717BE2F9E7",NA,"Torrance","{'bat_hand': 'R', 'channel_id': '1157161673635692544', 'full_name': 'Nick Frasso', 'pro_debut': '', 'rookie_year': '', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-27T22:14:31+00:00'}","Nick","IL60",693308,NA,NA,"SP","frasso",79,"Nick Frasso",200,"Undisclosed",16881,1
NA,5,NA,NA,"USA","Cal State East Bay",42622,"1996-04-11","","alex","2202","#alexvesia-MLB-LAD-51",NA,1758261020425,"True","mlb",NA,"[]",NA,NA,"Vesia",NA,"CA",NA,"A",NA,73,NA,"","alexvesia","Steele Canyon (CA)","bea7d9db-323c-4a8b-bbe9-0581df94536b",NA,NA,NA,"LAD","A91052DAB91A",NA,"Alpine","{'bat_hand': 'L', 'channel_id': '1157161683697827840', 'full_name': 'Alex Vesia', 'pro_debut': '2020-07-25', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-09-11T20:05:38+00:00'}","Alex","",681911,NA,NA,"RP","vesia",51,"Alex Vesia",209,"",16615,1
NA,1,NA,NA,"USA","LSU",4414362,"1999-12-22","","jaden","3278","#jadenhill-MLB-COL-0",NA,1753634701364,"True","mlb",NA,"[]",NA,NA,"Hill",NA,"AR",NA,"A",NA,76,NA,"","jadenhill","Ashdown (AR)","eef5b7fc-b5aa-4870-9e97-0095c5fda64d",NA,NA,NA,"COL","CC0970625F0A8AFC",NA,"Texarkana","{'bat_hand': 'R', 'channel_id': '1157161233011474432', 'full_name': 'Jaden Hill', 'pro_debut': '2024-09-07', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-21T19:21:27+00:00'}","Jaden","",677955,NA,NA,"RP","hill",0,"Jaden Hill",234,"",15471,1
NA,NA,NA,NA,"USA","Nebraska",42873,"","","nate","2581","#natefisher-MLB-NYM-64",NA,NA,"True","mlb",NA,"[]",NA,NA,"Fisher",NA,"NE",NA,"A",NA,73,NA,"","natefisher","Yutan (NE)","2f4a37b9-f569-40f8-bb72-ebfb7b9aff93",NA,NA,NA,"NYM","",NA,"Omaha","{'bat_hand': 'L', 'full_name': 'Nate Fisher', 'pro_debut': '2022-08-21', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-08-21T20:05:40+00:00'}","Nate","",688010,NA,NA,"RP","fisher",64,"Nate Fisher",205,"",NA,1
NA,6,NA,NA,"USA","LSU",32961,"1989-12-28","","austin","1958","#austinnola-MLB-COL-20",NA,1755181239798,"True","mlb",NA,"[]",NA,NA,"Nola",NA,"LA",NA,"A",NA,72,NA,"","austinnola","Catholic (LA)","55e0b892-3b41-48bd-b530-f5d2852c4264",NA,NA,NA,"COL","DDF8E727FE80",NA,"Baton Rouge","{'bat_hand': 'R', 'channel_id': '1245885913968414720', 'full_name': 'Austin Nola', 'pro_debut': '2019-06-16', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-01T21:46:09+00:00'}","Austin","",543592,NA,NA,"C","nola",20,"Austin Nola",197,"",14185,1
NA,0,NA,NA,"VEN","",5196880,"2000-12-12","","luarbert","3304","#luarbertarias-MLB-MIA-76",NA,1757273734662,"True","mlb",NA,"[]",NA,NA,"Arias",NA,"",NA,"A",NA,74,NA,"","luarbertarias","","0b2aebdf-22db-4b94-93d5-eeb945d9f599",NA,NA,NA,"MIA","D8083BCC18E1CB7E",NA,"","{'bat_hand': 'R', 'channel_id': '1199824309992837120', 'full_name': 'Luarbert Arias', 'pro_debut': '2025-03-31', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-01T15:35:23+00:00'}","Luarbert","",NA,NA,NA,"RP","arias",76,"Luarbert Arias",176,"",16420,1
