age,years_exp,stats_id,birth_country,competitions,college,full_name,birth_date,practice_participation,depth_chart_position,rotoworld_id,pandascore_id,rotowire_id,active,fantasy_data_id,team,birth_state,weight,opta_id,search_rank,fantasy_positions,status,injury_body_part,sport,injury_notes,high_school,sportradar_id,team_changed_at,first_name,yahoo_id,gsis_id,kalshi_id,birth_city,swish_id,metadata,last_name,hashtag,search_first_name,depth_chart_order,injury_status,position,news_updated,player_id,practice_description,oddsjam_id,team_abbr,search_last_name,height,number,search_full_name,injury_start_date,espn_id
,,,,[],,Reece Vitelli,,,,,,,True,,ARI,,181,,,,ACT,,nhl,,,af4ff06d-5dc1-4d73-93dd-f3588ae29157,,Reece,,,,,,"{'birth_date': '2001-07-05', 'birth_place': 'Winnipeg, MB, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Vitelli,#reecevitelli-NHL-ARI-41,reece,,,RW,,2959,,,,vitelli,71,41.0,reecevitelli,,
,7.0,,,[],Minnesota State,Teddy Blueger,,,,,,,True,,VAN,,185,,,,ACT,,nhl,,,c3e46622-db0d-4983-9f48-31265dd5d520,,Teddy,,,,,9000857.0,"{'birth_date': '1994-08-15', 'birth_place': 'Riga,, LVA', 'channel_id': '1157130988984225792', 'college': 'Minnesota State', 'draft_pick': '52', 'draft_round': '2', 'draft_year': '2012', 'high_school': '', 'rookie_year': '2018'}",Blueger,#teddyblueger-NHL-VAN-53,teddy,,,C,,1056,,,,blueger,72,53.0,teddyblueger,,
,,,,[],,Will Reynolds,,,,,,,True,,SEA,,188,,,,ACT,,nhl,,,5d95f518-73d4-40dc-9a99-080ef6f60291,,Will,,,,,,"{'birth_date': '2007-08-11', 'birth_place': 'Nasonworth, NB, CAN', 'channel_id': '1244768398135545856', 'college': '', 'draft_pick': '68', 'draft_round': '3', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Reynolds,#willreynolds-NHL-SEA-71,will,,,D,,3762,,,,reynolds,75,71.0,willreynolds,,
,,,,[],,Olof Glifford,,,,,,,True,,FLA,,191,,,,NWT,,nhl,,,9cc00aa1-6422-4b98-af46-f5446c1e1300,,Olof,,,,,,"{'birth_date': '2005-03-05', 'birth_place': ',, SWE', 'college': '', 'draft_pick': '159', 'draft_round': '5', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Glifford,#olofglifford-NHL-FLA,olof,,,G,,2162,,,,glifford,76,,olofglifford,,
,7.0,,,[],,Juuso Valimaki,,,,,,,True,,UTA,,201,,,,ACT,,nhl,,,6981a907-8e85-4506-8f53-74879c8ce1ee,,Juuso,,,,,9012303.0,"{'birth_date': '1998-10-06', 'birth_place': 'Tampere,, FIN', 'channel_id': '1157131359261577216', 'college': '', 'draft_pick': '16', 'draft_round': '1', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2018'}",Valimaki,#juusovalimaki-NHL-UTA-4,juuso,,,D,,1109,,,,valimaki,74,4.0,juusovalimaki,,
,,,,[],Bowling Green,Nathan Burke,,,,,,,True,,LA,,190,,,,ACT,,nhl,,,ce312459-7c09-49f9-9a68-d743ab5682c9,,Nathan,,,,,,"{'birth_date': '1998-12-21', 'birth_place': 'Scottsdale, AZ, USA', 'college': 'Bowling Green', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Burke,#nathanburke-NHL-LA-60,nathan,,,LW,,3056,,,,burke,74,60.0,nathanburke,,
,,,,[],,Tyler Peddle,,,,,,,True,,CBJ,,205,,,,ACT,,nhl,,,148cd6cd-e022-4b88-baf9-cb8805efcf9f,,Tyler,,,,,9015309.0,"{'birth_date': '2005-01-28', 'birth_place': 'Halifax, NS, CAN', 'college': '', 'draft_pick': '224', 'draft_round': '7', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Peddle,#tylerpeddle-NHL-CBJ-88,tyler,,,LW,,2099,,,,peddle,73,88.0,tylerpeddle,,
,,,,[],,Matthew Soto,,,,,,,True,,PIT,,178,,,,ACT,,nhl,,,14b0d643-8f49-4980-9584-da8351f1d3a9,,Matthew,,,,,,"{'birth_date': '2005-08-31', 'birth_place': 'St. Paul, MN, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Soto,#matthewsoto-NHL-PIT-64,matthew,,,RW,,2583,,,,soto,71,64.0,matthewsoto,,
,,,,[],,Ivan Yunin,,,,,,,True,,COL,,196,,,,UDP,,nhl,,,15ce5f16-abbd-4666-af02-68353e152cb9,,Ivan,,,,,,"{'birth_date': '2006-05-06', 'birth_place': 'Omsk,, RUS', 'college': '', 'draft_pick': '137', 'draft_round': '5', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Yunin,#ivanyunin-NHL-COL,ivan,,,G,,3274,,,,yunin,74,,ivanyunin,,
,2.0,,,[],,Kristian Reichel,,,,,,,True,,WPG,,168,,,,ACT,,nhl,,,2d3ec051-83b1-42db-bd2c-1ab126b76668,,Kristian,,,,,,"{'birth_date': '1998-06-11', 'birth_place': 'Most,, CZE', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2021'}",Reichel,#kristianreichel-NHL-WPG-87,kristian,,,C,,3022,,,,reichel,72,87.0,kristianreichel,,
,7.0,,,[],,Denis Malgin,,,,,,,True,,COL,,182,,,,ACT,,nhl,,,7f2276ba-ffb9-4a7f-87bc-fdf2e2d8392b,,Denis,,,,,9000832.0,"{'birth_date': '1997-01-18', 'birth_place': 'Olten,, CHE', 'college': '', 'draft_pick': '102', 'draft_round': '4', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2016'}",Malgin,#denismalgin-NHL-COL-81,denis,,,C,,1237,,,,malgin,69,81.0,denismalgin,,
,,,,[],,Roger McQueen,,,,,,,True,,ANA,,195,,,,UDP,,nhl,,,62880732-87c5-4754-926d-44abb28acd79,,Roger,,,,,,"{'birth_date': '2006-10-02', 'birth_place': 'Saskatoon, SK, CAN', 'channel_id': '1244526822067027968', 'college': '', 'draft_pick': '10', 'draft_round': '1', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",McQueen,#rogermcqueen-NHL-ANA,roger,,,C,,3756,,,,mcqueen,78,,rogermcqueen,,
,,,,[],,Jett Jones,,,,,,,True,,VGK,,212,,,,ACT,,nhl,,,bb1679be-1a92-4ffc-9faf-f1283a1f0561,,Jett,,,,,9015720.0,"{'birth_date': '2002-08-27', 'birth_place': 'Olds, AB, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Jones,#jettjones-NHL-VGK-91,jett,,,C,,2725,,,,jones,75,91.0,jettjones,,
,2.0,,,[],Harvard,Alex Laferriere,,,,,,,True,,LA,,205,,,,ACT,,nhl,,,533ebbc8-ad3c-459e-8b29-660030ac140f,,Alex,,,,,9013648.0,"{'birth_date': '2001-10-28', 'birth_place': 'Chatham, NJ, USA', 'channel_id': '1157130926250020864', 'college': 'Harvard', 'draft_pick': '83', 'draft_round': '3', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2023'}",Laferriere,#alexlaferriere-NHL-LA-14,alex,,,RW,,1071,,,,laferriere,73,14.0,alexlaferriere,,
,3.0,,,[],Harvard,Reilly Walsh,,,,,,,True,,LA,,185,,,,ACT,,nhl,,,168817ba-fb25-4941-8377-1b9e6c223f30,,Reilly,,,,,9013915.0,"{'birth_date': '1999-04-21', 'birth_place': 'Framingham, MA, USA', 'college': 'Harvard', 'draft_pick': '81', 'draft_round': '3', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2021'}",Walsh,#reillywalsh-NHL-LA-56,reilly,,,D,,1931,,,,walsh,72,56.0,reillywalsh,,
,7.0,,,[],Miami (OH),Austin Czarnik,,,,,,,True,,DET,,170,,,,ACT,,nhl,,,8f51d4bb-f0e4-4628-9511-a0b6e6c246d1,,Austin,,,,,9000410.0,"{'birth_date': '1992-12-12', 'birth_place': 'Detroit, MI, USA', 'college': 'Miami (OH)', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2016'}",Czarnik,#austinczarnik-NHL-DET-21,austin,,,C,,1434,,,,czarnik,69,21.0,austinczarnik,,
,1.0,,,[],,Zayne Parekh,,,,,,,True,,CGY,,179,,,,ACT,,nhl,,,c41355d7-d192-4b81-9935-438f69c6b437,,Zayne,,,,,9024882.0,"{'birth_date': '2006-02-15', 'birth_place': 'Markham, ON, CAN', 'channel_id': '1215475351107411968', 'college': '', 'draft_pick': '9', 'draft_round': '1', 'draft_year': '2024', 'high_school': '', 'rookie_year': '2024'}",Parekh,#zayneparekh-NHL-CGY-89,zayne,,,D,,3225,,,,parekh,72,89.0,zayneparekh,,
,,,,[],,Felix Farhammar,,,,,,,True,,NYR,,185,,,,UDP,,nhl,,,e62f6ea3-2a44-43c8-ac48-93c5b93a5a05,,Felix,,,,,,"{'birth_date': '2007-04-11', 'birth_place': 'Stockholm,, SWE', 'channel_id': '1244828848382562304', 'college': '', 'draft_pick': '203', 'draft_round': '7', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Farhammar,#felixfarhammar-NHL-NYR,felix,,,D,,3922,,,,farhammar,73,,felixfarhammar,,
,8.0,,,[],,Noah Juulsen,,,,,,,True,,PHI,,201,,,,ACT,,nhl,,,d70eca80-fe30-493a-be08-c8e242a9d87d,,Noah,,,,,9000578.0,"{'birth_date': '1997-04-02', 'birth_place': 'Surrey, BC, CAN', 'channel_id': '1157130990754222080', 'college': '', 'draft_pick': '26', 'draft_round': '1', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2017'}",Juulsen,#noahjuulsen-NHL-PHI-47,noah,,,D,,2169,,,,juulsen,74,47.0,noahjuulsen,,
,,,,[],,Taylor Gauthier,,,,,,,True,,PIT,,208,,,,ACT,,nhl,,,fc9e9452-3007-470f-814c-1c3e2d7fb507,,Taylor,,,,,9014837.0,"{'birth_date': '2001-02-15', 'birth_place': 'Calgary, AB, CAN', 'channel_id': '1274484296224083968', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Gauthier,#taylorgauthier-NHL-PIT-33,taylor,,,G,,2596,,,,gauthier,74,33.0,taylorgauthier,,
,,,,[],,Caleb Heil,,,,,,,True,,TB,,196,,,,ACT,,nhl,,,d976824f-e3f3-47c1-95c2-fcbdd09c9756,,Caleb,,,,,,"{'birth_date': '2006-06-19', 'birth_place': 'Victoria, MN, USA', 'channel_id': '1244828857794580480', 'college': '', 'draft_pick': '193', 'draft_round': '7', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Heil,#calebheil-NHL-TB-70,caleb,,,G,,3933,,,,heil,74,70.0,calebheil,,
,,,,[],,Daniil Karpovich,,,,,,,True,,NJ,,209,,,,NWT,,nhl,,,21b5d65b-2aa1-442d-9555-76a71b4567b9,,Daniil,,,,,,"{'birth_date': '2004-12-06', 'birth_place': 'Minsk,, BLR', 'college': '', 'draft_pick': '186', 'draft_round': '6', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Karpovich,#daniilkarpovich-NHL-NJ,daniil,,,D,,2119,,,,karpovich,75,,daniilkarpovich,,
,,,,[],,Ryan Fanti,,,,,,,True,,TB,,200,,,,ACT,,nhl,,,a1cc11d2-03f9-4bf2-8da3-18cf19d9417c,,Ryan,,,,,9015200.0,"{'birth_date': '1999-10-03', 'birth_place': 'Thunder Bay, ON, CAN', 'channel_id': '1274121874153967616', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Fanti,#ryanfanti-NHL-TB-32,ryan,,,G,,3156,,,,fanti,75,32.0,ryanfanti,,
,3.0,,,[],,Radim Zohorna,,,,,,,True,,PIT,,220,,,,ACT,,nhl,,,51ea9440-7171-4906-8666-5c819573c9b7,,Radim,,,,,9013894.0,"{'birth_date': '1996-04-29', 'birth_place': 'Havlickuv Brod,, CZE', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",Zohorna,#radimzohorna-NHL-PIT-63,radim,,,LW,,2257,,,,zohorna,78,63.0,radimzohorna,,
,,,,[],,Roman Kantserov,,,,,,,True,,CHI,,176,,,,NWT,,nhl,,,ab88c4d7-e047-4a78-8d32-f262dae3cb47,,Roman,,,,,,"{'birth_date': '2004-09-20', 'birth_place': 'Magnitogorsk,, RUS', 'college': '', 'draft_pick': '44', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Kantserov,#romankantserov-NHL-CHI,roman,,,RW,,1993,,,,kantserov,69,,romankantserov,,
,,,,[],,Lucas Ellinas,,,,,,,True,,OTT,,198,,,,ACT,,nhl,,,d4e2b3bd-5fff-4bff-8768-734c5a2d3079,,Lucas,,,,,9024977.0,"{'birth_date': '2006-03-12', 'birth_place': 'Etobicoke, ON, CAN', 'channel_id': '1274665470045192192', 'college': '', 'draft_pick': '104', 'draft_round': '4', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Ellinas,#lucasellinas-NHL-OTT-19,lucas,,,C,,3316,,,,ellinas,74,19.0,lucasellinas,,
,4.0,,,[],Sacred Heart,Justin Danforth,,,,,,,True,,BUF,,188,,,,ACT,,nhl,,,80115764-728f-48a1-bc05-383556c00942,,Justin,,,,,9014421.0,"{'birth_date': '1993-03-15', 'birth_place': 'Oshawa, ON, CAN', 'channel_id': '1157131091325243392', 'college': 'Sacred Heart', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2021'}",Danforth,#justindanforth-NHL-BUF-15,justin,,,RW,,1403,,,,danforth,68,15.0,justindanforth,,
,2.0,,,[],Minnesota State,Akito Hirose,,,,,,,True,,VAN,,170,,,,ACT,,nhl,,,d11968a2-9f78-43a9-95e1-8be4bbc9d4e9,,Akito,,,,,9015239.0,"{'birth_date': '1999-04-09', 'birth_place': 'Calgary, AB, CAN', 'college': 'Minnesota State', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2022'}",Hirose,#akitohirose-NHL-VAN-41,akito,,,D,,1220,,,,hirose,72,41.0,akitohirose,,
,,,,[],,Oliver Josephson,,,,,,,True,,SEA,,185,,,,ACT,,nhl,,,839325cf-d56c-4c10-932c-5e8059023514,,Oliver,,,,,9024978.0,"{'birth_date': '2006-07-22', 'birth_place': 'Victoria, BC, CAN', 'college': '', 'draft_pick': '105', 'draft_round': '4', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Josephson,#oliverjosephson-NHL-SEA-72,oliver,,,C,,3255,,,,josephson,72,72.0,oliverjosephson,,
,,,,[],,Olivier Nadeau,,,,,,,True,,BUF,,204,,,,ACT,,nhl,,,791a0dc7-09ad-4ee5-9939-819a35661cc4,,Olivier,,,,,9014194.0,"{'birth_date': '2003-01-15', 'birth_place': 'Lac-Etchemin, QC, CAN', 'channel_id': '1273819866494685184', 'college': '', 'draft_pick': '97', 'draft_round': '4', 'draft_year': '2021', 'high_school': '', 'rookie_year': ''}",Nadeau,#oliviernadeau-NHL-BUF-54,olivier,,,RW,,2677,,,,nadeau,74,54.0,oliviernadeau,,
,4.0,,,[],,J.J. Moser,,,,,,,True,,TB,,181,,,,ACT,,nhl,,,97da28ec-1fd6-4d66-814c-3cc6d13e4a28,,J.J.,,,,,9014137.0,"{'birth_date': '2000-06-06', 'birth_place': 'Biel,, CHE', 'channel_id': '1157131271462211584', 'college': '', 'draft_pick': '60', 'draft_round': '2', 'draft_year': '2021', 'high_school': '', 'rookie_year': '2021'}",Moser,#jjmoser-NHL-TB-90,jj,,,D,,1112,,,,moser,74,90.0,jjmoser,,
,,,,[],,Rhett Parsons,,,,,,,True,,TOR,,213,,,,ACT,,nhl,,,45efd18d-8f51-4903-8a66-6e1dde651e38,,Rhett,,,,,9025215.0,"{'birth_date': '2003-10-10', 'birth_place': 'Cremona, AB, CAN', 'channel_id': '1274544747918168064', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Parsons,#rhettparsons-NHL-TOR-85,rhett,,,D,,3634,,,,parsons,75,85.0,rhettparsons,,
,,,,[],Miami (OH),Matthew Barbolini,,,,,,,True,,TOR,,205,,,,ACT,,nhl,,,ba453c19-ff30-40a5-91c3-fdb393bdc90e,,Matthew,,,,,9025218.0,"{'birth_date': '2000-06-01', 'birth_place': 'Williamsville, NY, USA', 'channel_id': '1274544765085454336', 'college': 'Miami (OH)', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Barbolini,#matthewbarbolini-NHL-TOR-68,matthew,,,LW,,3638,,,,barbolini,74,68.0,matthewbarbolini,,
,13.0,,,[],,Mark Stone,,,,,,,True,,VGK,,210,,,,ACT,,nhl,,,ccba87dc-0f34-4203-8f8f-00b9b6b827ba,,Mark,,,,,8475913.0,"{'birth_date': '1992-05-13', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1157130916007530496', 'college': '', 'draft_pick': '178', 'draft_round': '6', 'draft_year': '2010', 'high_school': '', 'rookie_year': '2012'}",Stone,#markstone-NHL-VGK-61,mark,,,RW,,1058,,,,stone,75,61.0,markstone,,
,,,,[],,Patrik Koch,,,,,,,True,,UTA,,190,,,,ACT,,nhl,,,0c407e5e-fa6a-4f8a-aafb-65f0a012b36d,,Patrik,,,,,9015739.0,"{'birth_date': '1996-12-08', 'birth_place': 'Malacky,, SVK', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Koch,#patrikkoch-NHL-UTA-64,patrik,,,D,,2940,,,,koch,73,64.0,patrikkoch,,
,10.0,,,[],St. Cloud State,Kevin Gravel,,,,,,,True,,NSH,,205,,,,ACT,,nhl,,,500b6dbc-73d6-43f0-968b-b7ab612db8c8,,Kevin,,,,,8475857.0,"{'birth_date': '1992-03-06', 'birth_place': 'Kingsford, MI, USA', 'channel_id': '1172970366276993024', 'college': 'St. Cloud State', 'draft_pick': '148', 'draft_round': '5', 'draft_year': '2010', 'high_school': '', 'rookie_year': '2015'}",Gravel,#kevingravel-NHL-NSH-5,kevin,,,D,,2300,,,,gravel,76,5.0,kevingravel,,
,10.0,,,[],,Louis Domingue,,,,,,,True,,NYR,,208,,,,ACT,,nhl,,,7ebcb701-8ec5-4250-8856-3bcbce2c8177,,Louis,,,,,8475839.0,"{'birth_date': '1992-03-06', 'birth_place': 'St-Hyacinthe, QC, CAN', 'channel_id': '1179976440452485120', 'college': '', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2010', 'high_school': '', 'rookie_year': '2014'}",Domingue,#louisdomingue-NHL-NYR-70,louis,,,G,,2547,,,,domingue,75,70.0,louisdomingue,,
,,,,[],,Will Bishop,,,,,,,True,,CBJ,,209,,,,ACT,,nhl,,,3bd59137-11cc-4cac-8810-e710e39b275e,,Will,,,,,,"{'birth_date': '2005-03-17', 'birth_place': 'London, ON, CAN', 'channel_id': '1275631804350464000', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Bishop,#willbishop-NHL-CBJ,will,,,D,,4134,,,,bishop,78,,willbishop,,
,3.0,,,[],,Jiri Patera,,,,,,,True,,VAN,,212,,,,ACT,,nhl,,,94dca01a-7fc4-45fc-b6e1-fbc0d8aa7308,,Jiri,,,,,9012232.0,"{'birth_date': '1999-02-24', 'birth_place': 'Praha,, CZE', 'channel_id': '1274242670402744320', 'college': '', 'draft_pick': '161', 'draft_round': '6', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2022'}",Patera,#jiripatera-NHL-VAN-30,jiri,,,G,,1052,,,,patera,75,30.0,jiripatera,,
,16.0,,,[],,Carey Price,,,,,,,True,,MTL,,217,,,,IR,,nhl,,,4312478a-0f24-11e2-8525-18a905767e44,,Carey,,,,,8471679.0,"{'birth_date': '1987-08-16', 'birth_place': 'Anahim Lake, BC, CAN', 'college': '', 'draft_pick': '5', 'draft_round': '1', 'draft_year': '2005', 'high_school': '', 'rookie_year': '2007'}",Price,#careyprice-NHL-MTL-31,carey,,,G,,1538,,,,price,75,31.0,careyprice,,
,,,,[],Denver,Matt Davis,,,,,,,True,,SJ,,195,,,,ACT,,nhl,,,63dc419a-a117-40b2-b7db-69a8d1059b00,,Matt,,,,,,"{'birth_date': '2001-06-16', 'birth_place': 'Calgary, AB, CAN', 'channel_id': '1274484199507628033', 'college': 'Denver', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Davis,#mattdavis-NHL-SJ-34,matt,,,G,,4037,,,,davis,73,34.0,mattdavis,,
,9.0,,,[],,Alex Nylander,,,,,,,True,,TOR,,192,,,,ACT,,nhl,,,4a266011-6fad-44a8-930d-3e42c76e325b,,Alex,,,,,9000044.0,"{'birth_date': '1998-03-02', 'birth_place': 'Calgary, AB, CAN', 'channel_id': '1165843361072955392', 'college': '', 'draft_pick': '8', 'draft_round': '1', 'draft_year': '2016', 'high_school': '', 'rookie_year': '2016'}",Nylander,#alexnylander-NHL-TOR-92,alex,,,LW,,1709,,,,nylander,73,92.0,alexnylander,,
,2.0,,,[],,Liam Ohgren,,,,,,,True,,MIN,,187,,,,ACT,,nhl,,,8cf85c4a-56c9-4899-a248-718a3ae96f5c,,Liam,,,,,9014733.0,"{'birth_date': '2004-01-28', 'birth_place': 'Stockholm,, SWE', 'channel_id': '1157131034223988736', 'college': '', 'draft_pick': '19', 'draft_round': '1', 'draft_year': '2022', 'high_school': '', 'rookie_year': '2023'}",Ohgren,#liamohgren-NHL-MIN-28,liam,,,LW,,3176,,,,ohgren,72,28.0,liamohgren,,
,9.0,,,[],,Joseph Blandisi,,,,,,,True,,TOR,,182,,,,ACT,,nhl,,,7bfe182e-66e0-4885-9bca-dc362c7a3f5b,,Joseph,,,,,8477010.0,"{'birth_date': '1994-07-18', 'birth_place': 'Markham, ON, CAN', 'college': '', 'draft_pick': '162', 'draft_round': '6', 'draft_year': '2012', 'high_school': '', 'rookie_year': '2015'}",Blandisi,#josephblandisi-NHL-TOR-94,joseph,,,LW,,3094,,,,blandisi,72,94.0,josephblandisi,,
,2.0,,,[],Boston University,Cameron Crotty,,,,,,,True,,OTT,,182,,,,ACT,,nhl,,,829d8acc-e062-4997-bd96-7a6ce6317086,,Cameron,,,,,9013426.0,"{'birth_date': '1999-05-05', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1171943628709318656', 'college': 'Boston University', 'draft_pick': '82', 'draft_round': '3', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2023'}",Crotty,#cameroncrotty-NHL-OTT,cameron,,,D,,2164,,,,crotty,75,,cameroncrotty,,
,11.0,,,[],,Anton Forsberg,,,,,,,True,,LA,,200,,,,ACT,,nhl,,,3cdfd392-e23c-4d49-b608-a473995998aa,,Anton,,,,,8476341.0,"{'birth_date': '1992-11-27', 'birth_place': 'Harnosand,, SWE', 'channel_id': '1157131146304180224', 'college': '', 'draft_pick': '188', 'draft_round': '7', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2014'}",Forsberg,#antonforsberg-NHL-LA-31,anton,,,G,,1503,,,,forsberg,75,31.0,antonforsberg,,
,8.0,,,[],,Kenneth Appleby,,,,,,,True,,TOR,,216,,,,ACT,,nhl,,,e61a4626-bfc2-4c60-bdfb-8890deb51423,,Kenneth,,,,,9000618.0,"{'birth_date': '1995-04-10', 'birth_place': 'North Bay, ON, CAN', 'channel_id': '1274544770823262208', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2017'}",Appleby,#kennethappleby-NHL-TOR-80,kenneth,,,G,,2895,,,,appleby,77,80.0,kennethappleby,,
,,,,[],St. Cloud State,Ethan Prow,,,,,,,True,,BUF,,182,,,,ACT,,nhl,,,5144ccd7-90bc-4883-a3e7-d5138673883f,,Ethan,,,,,9001166.0,"{'birth_date': '1992-11-17', 'birth_place': 'Sauk Rapids, MN, USA', 'college': 'St. Cloud State', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Prow,#ethanprow-NHL-BUF-5,ethan,,,D,,2675,,,,prow,71,5.0,ethanprow,,
,11.0,,,[],,Connor Carrick,,,,,,,True,,EDM,,192,,,,ACT,,nhl,,,06966019-1eb1-42b5-ac95-a31e19702350,,Connor,,,,,8476941.0,"{'birth_date': '1994-04-13', 'birth_place': 'Orland Park, IL, USA', 'channel_id': '1218012192868139010', 'college': '', 'draft_pick': '137', 'draft_round': '5', 'draft_year': '2012', 'high_school': '', 'rookie_year': '2013'}",Carrick,#connorcarrick-NHL-EDM-58,connor,,,D,,2170,,,,carrick,71,58.0,connorcarrick,,
,14.0,,,[],,Mika Zibanejad,,,,,,,True,,NYR,,203,,,,ACT,,nhl,,,42f5f2cc-0f24-11e2-8525-18a905767e44,,Mika,,,,,8476459.0,"{'birth_date': '1993-04-18', 'birth_place': 'Stockholm,, SWE', 'channel_id': '1157131224154656768', 'college': '', 'draft_pick': '6', 'draft_round': '1', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2011'}",Zibanejad,#mikazibanejad-NHL-NYR-93,mika,,,C,,1654,,,,zibanejad,74,93.0,mikazibanejad,,
,16.0,,,[],North Dakota,T.J. Oshie,,,,,,,True,,WSH,,187,,,,IR,,nhl,,,42d05fe4-0f24-11e2-8525-18a905767e44,,T.J.,,,,,8471698.0,"{'birth_date': '1986-12-23', 'birth_place': 'Everett, WA, USA', 'channel_id': '1157131281696313344', 'college': 'North Dakota', 'draft_pick': '24', 'draft_round': '1', 'draft_year': '2005', 'high_school': '', 'rookie_year': '2008'}",Oshie,#tjoshie-NHL-WSH-77,tj,,,RW,,1747,,,,oshie,72,77.0,tjoshie,,
,6.0,,,[],,Igor Shesterkin,,,,,,,True,,NYR,,195,,,,ACT,,nhl,,,30d3b91d-c0d2-40e0-ba17-2a21882c43af,,Igor,,,,,9013037.0,"{'birth_date': '1995-12-30', 'birth_place': 'Moscow,, RUS', 'channel_id': '1157131222950891520', 'college': '', 'draft_pick': '118', 'draft_round': '4', 'draft_year': '2014', 'high_school': '', 'rookie_year': '2019'}",Shesterkin,#igorshesterkin-NHL-NYR-31,igor,,,G,,1651,,,,shesterkin,73,31.0,igorshesterkin,,
,,,,[],,Tanner Howe,,,,,,,True,,PIT,,183,,,,ACT,,nhl,,,cb42ef64-f31c-4006-be98-304840bd004a,,Tanner,,,,,9024919.0,"{'birth_date': '2005-11-28', 'birth_place': 'Prince Albert, SK, CAN', 'channel_id': '1274484293443260416', 'college': '', 'draft_pick': '46', 'draft_round': '2', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Howe,#tannerhowe-NHL-PIT-9,tanner,,,LW,,3341,,,,howe,71,9.0,tannerhowe,,
,,,,[],Minnesota,Connor Kurth,,,,,,,True,,TB,,215,,,,ACT,,nhl,,,16026d6a-f10e-4e09-a8cc-4dd0df4531e4,,Connor,,,,,,"{'birth_date': '2003-07-30', 'birth_place': 'Elk River, MN, USA', 'channel_id': '1212214011186122752', 'college': 'Minnesota', 'draft_pick': '192', 'draft_round': '6', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",Kurth,#connorkurth-NHL-TB-68,connor,,,RW,,3710,,,,kurth,72,68.0,connorkurth,,
