age,years_exp,search_rank,pandascore_id,birth_country,college,espn_id,birth_date,injury_notes,search_first_name,player_id,hashtag,stats_id,news_updated,active,sport,fantasy_data_id,competitions,practice_description,yahoo_id,last_name,opta_id,birth_state,gsis_id,status,depth_chart_order,height,injury_start_date,fantasy_positions,search_full_name,high_school,sportradar_id,kalshi_id,practice_participation,team_abbr,team,oddsjam_id,rotoworld_id,birth_city,metadata,first_name,injury_status,swish_id,depth_chart_position,team_changed_at,position,search_last_name,number,full_name,weight,injury_body_part,rotowire_id
,,,,DOM,,,,,jhailyn,1141,#jhailynortiz-MLB-PHI-89,,,False,mlb,,[],,,Ortiz,,,,MIN,,75,,,jhailynortiz,,2c92788e-f7ad-4063-99b5-ec9b17ade3c9,,,,PHI,,,Jarabacoa,"{'bat_hand': 'R', 'full_name': 'Jhailyn Ortiz', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-03-12T20:57:03+00:00'}",Jhailyn,,,,,RF,ortiz,89.0,Jhailyn Ortiz,215,,
,8.0,,,USA,UNLV,,1993-02-25,,erick,2022,#erickfedde-MLB-MIL-59,,1759268748338.0,True,mlb,,[],,,Fedde,,NV,,A,,76,,,erickfedde,Las Vegas (NV),b484880b-790e-45a7-a751-2a03c01ec7ea,,,,MIL,272FD5964574,,Las Vegas,"{'bat_hand': 'R', 'channel_id': '1157161265756405760', 'full_name': 'Erick Fedde', 'pro_debut': '2017-07-30', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-28T05:13:48+00:00'}",Erick,,607200.0,,,SP,fedde,59.0,Erick Fedde,205,,13346.0
,4.0,,,DOM,,,1999-08-28,Inflammation,gregory,1826,#gregorysantos-MLB-SEA-48,,1757192722808.0,True,mlb,,[],,,Santos,,,,D60,,74,,,gregorysantos,,cb8fc26c-77fa-46fe-b9da-0bf7df7cd721,,,,SEA,95899392863E,,San Cristobal,"{'bat_hand': 'R', 'channel_id': '1157161254075269120', 'full_name': 'Gregory Santos', 'pro_debut': '2021-04-22', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-04-29T20:26:20+00:00'}",Gregory,IL60,666619.0,,,RP,santos,48.0,Gregory Santos,190,Knee,15228.0
,,,,USA,St. John's (NY),,,,frank,1504,#frankschwindel-MLB-CHC-18,,,False,mlb,,[],,,Schwindel,,NJ,,MIN,,73,,,frankschwindel,Livingston (NJ),56080362-d777-4ab4-9994-ef0fcb63d140,,,,CHC,,,Livingston,"{'bat_hand': 'R', 'full_name': 'Frank Schwindel', 'pro_debut': '2019-03-28', 'rookie_year': '2019', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2022-08-09T12:19:30+00:00'}",Frank,,643524.0,,,1B,schwindel,18.0,Frank Schwindel,220,,
,,,,USA,,,,,justin,2401,#justinupton-MLB-SEA-8,,,True,mlb,,[],,,Upton,,VA,,A,,73,,,justinupton,Great Bridge (VA),2847c4e0-01be-46bd-992e-701ee447e3f5,,,,SEA,,,Norfolk,"{'bat_hand': 'R', 'full_name': 'Justin Upton', 'pro_debut': '2007-08-02', 'rookie_year': '2007', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-06-18T16:39:42+00:00'}",Justin,,457708.0,,,LF,upton,8.0,Justin Upton,215,,
,9.0,,,DOM,,,1991-07-27,,wandy,1782,#wandyperalta-MLB-SD-58,,1755297347648.0,True,mlb,,[],,,Peralta,,,,A,,72,,,wandyperalta,,b0b80d42-de4b-4722-b4fa-bbdbb0d5d53e,,,,SD,3EF7AA7BBA26,,San Francisco de Macoris,"{'bat_hand': 'L', 'channel_id': '1157161577925869568', 'full_name': 'Wandy Peralta', 'pro_debut': '2016-09-04', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-01-29T18:31:10+00:00'}",Wandy,,593974.0,,,RP,peralta,58.0,Wandy Peralta,227,,14539.0
,4.0,,,KOR,,,1995-10-17,,haseong,1961,#haseongkim-MLB-ATL-9,,1758552334224.0,True,mlb,,[],,,Kim,,,,A,,70,,,haseongkim,Yatap (KOR),d5c9ae13-0a9e-42cd-8d74-6b7797cef34c,,,,ATL,DA0179EC504B,,Bucheon,"{'bat_hand': 'R', 'channel_id': '1157161566076960768', 'full_name': 'Ha-Seong Kim', 'pro_debut': '2021-04-01', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-02T19:08:35+00:00'}",Ha-Seong,,673490.0,,,SS,kim,9.0,Ha-Seong Kim,200,,17112.0
,8.0,,,USA,,,1994-07-01,,chris,1311,#chrisflexen-MLB-CHC-77,,1754360453730.0,True,mlb,,[],,,Flexen,,CA,,A,,75,,,chrisflexen,Memorial (CA),fae16ac1-d99d-4626-83c2-0a8e89545a2b,,,,CHC,6F2A96579B0B,,Newark,"{'bat_hand': 'R', 'channel_id': '1157161289747824640', 'full_name': 'Chris Flexen', 'pro_debut': '2017-07-27', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-25T16:12:34+00:00'}",Chris,,623167.0,,,RP,flexen,77.0,Chris Flexen,220,,14596.0
,,,,USA,Houston,,,,kyle,2635,#kyledowdy-MLB-CIN-72,,,True,mlb,,[],,,Dowdy,,CA,,A,,73,,,kyledowdy,Francis Parker (CA),1865224d-02f1-48c0-826b-b9788937bfdb,,,,CIN,,,Escondido,"{'bat_hand': 'R', 'full_name': 'Kyle Dowdy', 'pro_debut': '2019-03-28', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-20T01:41:05+00:00'}",Kyle,,664871.0,,,RP,dowdy,72.0,Kyle Dowdy,195,,
,4.0,,,USA,Auburn,,1995-03-13,,keegan,1537,#keeganthompson-MLB-CHC-71,,1742995839976.0,True,mlb,,[],,,Thompson,,AL,,A,,73,,,keeganthompson,Cullman (AL),fd6497de-3655-49f8-b944-0ed11459f60a,,,,CHC,314DD7694427,,Cullman,"{'bat_hand': 'R', 'channel_id': '1157161359784312832', 'full_name': 'Keegan Thompson', 'pro_debut': '2021-05-02', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-01-29T15:42:18+00:00'}",Keegan,,624522.0,,,RP,thompson,71.0,Keegan Thompson,210,,14914.0
,1.0,,,USA,Duke,,2000-09-24,,graham,3102,#grahampauley-MLB-MIA-21,,1758480631016.0,True,mlb,,[],,,Pauley,,GA,,A,,73,,,grahampauley,Milton (GA),5cc840a3-6662-47d9-aeb7-d348a494afaa,,,,MIA,161C3D8E8075,,Alpharetta,"{'bat_hand': 'L', 'channel_id': '1157161099112513536', 'full_name': 'Graham Pauley', 'pro_debut': '2024-03-20', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-15T23:27:17+00:00'}",Graham,,688363.0,,,3B,pauley,21.0,Graham Pauley,200,,19097.0
,,,,USA,,,,,foster,2396,#fostergriffin-MLB-TOR-60,,,True,mlb,,[],,,Griffin,,FL,,A,,75,,,fostergriffin,First Academy (FL),084cc7a3-3cd1-493c-a030-4af52f1f6cdd,,,,TOR,,,Orlando,"{'bat_hand': 'R', 'full_name': 'Foster Griffin', 'pro_debut': '2020-07-27', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-10-20T02:03:08+00:00'}",Foster,,656492.0,,,RP,griffin,60.0,Foster Griffin,225,,
,4.0,,,VEN,,,1999-09-27,,angel,1701,#angelzerpa-MLB-KC-61,,1755844522556.0,True,mlb,,[],,,Zerpa,,,,A,,72,,,angelzerpa,,7eb34043-55cb-40e1-a8e2-e2d2c7f494b8,,,,KC,A4CBE9B23D04,,Valle de la Pascua,"{'bat_hand': 'L', 'channel_id': '1157161440646299648', 'full_name': 'Angel Zerpa', 'pro_debut': '2021-09-30', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-05-17T18:08:33+00:00'}",Angel,,672582.0,,,RP,zerpa,61.0,Angel Zerpa,220,,17131.0
,5.0,,,USA,,,1992-12-20,,joey,1606,#joeykrehbiel-MLB-BAL-52,,1753284349970.0,False,mlb,,[],,,Krehbiel,,FL,,MIN,,75,,,joeykrehbiel,Seminole (FL),efb7ed2b-4c67-4df0-b090-de2914d25ade,,,,BAL,3A0605FBCD3B,,Seminole,"{'bat_hand': 'R', 'full_name': 'Joey Krehbiel', 'pro_debut': '2018-07-02', 'rookie_year': '2018', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-09-12T16:06:52+00:00'}",Joey,,607216.0,,,RP,krehbiel,52.0,Joey Krehbiel,250,,13573.0
,5.0,,,USA,,,1994-07-14,,andrew,1463,#andrewvelazquez-MLB-ATL,,1755224442760.0,False,mlb,,[],,,Velazquez,,NY,,MIN,,69,,,andrewvelazquez,Fordham Prep (NY),8795cd8e-0a6d-4207-b0b9-ccedd1822c13,,,,ATL,38BA476B2CDD,,Bronx,"{'bat_hand': 'B', 'full_name': 'Andrew Velazquez', 'pro_debut': '2018-09-02', 'rookie_year': '2018', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-09-05T17:51:58+00:00'}",Andrew,,623205.0,,,SS,velazquez,,Andrew Velazquez,170,,13581.0
,2.0,,,USA,,,1999-11-10,,jordan,2636,#jordangroshans-MLB-ATH,,1733272509218.0,False,mlb,,[],,,Groshans,,TX,,MIN,,75,,,jordangroshans,Magnolia (TX),f330022b-0b8a-4da2-bbd3-68e0d0396b77,,,,ATH,71435F200B2C,,Magnolia,"{'bat_hand': 'R', 'full_name': 'Jordan Groshans', 'pro_debut': '2022-09-13', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2024-06-23T17:53:04+00:00'}",Jordan,,677954.0,,,3B,groshans,,Jordan Groshans,200,,15425.0
,0.0,,,TWN,,,2001-07-26,,tsungche,3062,#tsungchecheng-MLB-PIT-71,,1744833043510.0,True,mlb,,[],,,Cheng,,,,A,,68,,,tsungchecheng,,fb6a7c20-7bb7-4ace-a8f8-b40c578c240f,,,,PIT,F692309B0007,,Pingtung County,"{'bat_hand': 'L', 'channel_id': '1157161299747045376', 'full_name': 'Tsung-Che Cheng', 'pro_debut': '2025-04-09', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T02:35:58+00:00'}",Tsung-Che,,691907.0,,,SS,cheng,71.0,Tsung-Che Cheng,180,,17676.0
,0.0,,,USA,Rice,,1996-12-19,,evan,3264,#evankravetz-MLB-CIN-66,,1725311125022.0,True,mlb,,[],,,Kravetz,,FL,,A,,80,,,evankravetz,,530b3f09-e036-422f-a011-624d6ab4163d,,,,CIN,C93F1F352D4D55AC,,Miami,"{'bat_hand': 'L', 'full_name': 'Evan Kravetz', 'pro_debut': '2024-08-28', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-08-29T13:26:26+00:00'}",Evan,,667478.0,,,SP,kravetz,66.0,Evan Kravetz,240,,18509.0
,2.0,,,USA,Oregon State,,2000-04-21,,wade,2946,#wademeckler-MLB-SF-53,,1748836205460.0,True,mlb,,[],,,Meckler,,CA,,A,,70,,,wademeckler,Esperanza (CA),e18804ae-c939-46e9-aa75-c5ac4f68bc77,,,,SF,8C4980E291E4,,Anaheim,"{'bat_hand': 'L', 'channel_id': '1157161490734678016', 'full_name': 'Wade Meckler', 'pro_debut': '2023-08-14', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:34:25+00:00'}",Wade,,685133.0,,,CF,meckler,53.0,Wade Meckler,190,,18683.0
,6.0,,,USA,Florida,,1994-10-29,,shaun,2489,#shaunanderson-MLB-LAA-64,,1755318349008.0,True,mlb,,[],,,Anderson,,FL,,A,,76,,,shaunanderson,American Heritage (FL),fd40f395-6a36-46e5-a2e5-3eb6f3c05916,,,,LAA,FE8FAB8B1EE4,,Coral Springs,"{'bat_hand': 'R', 'channel_id': '1157161104078569472', 'full_name': 'Shaun Anderson', 'pro_debut': '2019-05-15', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-11T21:14:53+00:00'}",Shaun,,641312.0,,,RP,anderson,64.0,Shaun Anderson,228,,14363.0
,8.0,,,DOM,,,1997-05-19,,victor,2012,#victorrobles-MLB-SEA-10,,1759010424957.0,True,mlb,,[],,,Robles,,,,A,,72,,,victorrobles,,de342f88-03b5-4dcf-9107-9e5527cd4bde,,,,SEA,DBECFBF144FF,,Santo Domingo Este,"{'bat_hand': 'R', 'channel_id': '1157161246047371264', 'full_name': 'Victor Robles', 'pro_debut': '2017-09-07', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-06T14:35:47+00:00'}",Victor,DTD,645302.0,,,RF,robles,10.0,Victor Robles,193,Undisclosed,13990.0
,3.0,,,USA,Kean (NJ),,1991-04-03,,kevin,2574,#kevinherget-MLB-NYM-57,,1759199742947.0,True,mlb,,[],,,Herget,,NJ,,A,,70,,,kevinherget,Park Ridge (NJ),935bc665-a86f-4d8f-955d-698bfa4f9232,,,,NYM,DE89D31ADEAB,,Teaneck,"{'bat_hand': 'L', 'channel_id': '1157161632036585472', 'full_name': 'Kevin Herget', 'pro_debut': '2022-09-13', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-25T19:49:40+00:00'}",Kevin,,643361.0,,,RP,herget,57.0,Kevin Herget,185,,18228.0
,0.0,,,USA,UAB,,1998-01-27,,tyler,3401,#tylertolbert-MLB-KC-2,,1758723304744.0,True,mlb,,[],,,Tolbert,,AL,,A,,71,,,tylertolbert,Hewitt-Trussville (AL),84b55593-b104-482a-9b4d-01b1ee2ed0fb,,,,KC,C859F1DA2C1D50BC,,Birmingham,"{'bat_hand': 'R', 'channel_id': '1212470734480211968', 'full_name': 'Tyler Tolbert', 'pro_debut': '2025-03-31', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-29T20:27:06+00:00'}",Tyler,,,,,2B,tolbert,2.0,Tyler Tolbert,160,,18413.0
,6.0,,,USA,Notre Dame,,1995-04-11,,cavan,1090,#cavanbiggio-MLB-KC-18,,1754530534761.0,False,mlb,,[],,,Biggio,,TX,,MIN,,73,,,cavanbiggio,St. Thomas (TX),a0d999b0-5021-4f17-8082-e842e9e63ce4,,,,KC,5CF4C48B510F,,Houston,"{'bat_hand': 'L', 'channel_id': '1157161120415383552', 'full_name': 'Cavan Biggio', 'pro_debut': '2019-05-24', 'rookie_year': '2019', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-05-26T00:47:28+00:00'}",Cavan,,624415.0,,,1B,biggio,18.0,Cavan Biggio,200,,12992.0
,0.0,,,USA,,,2004-10-20,Surgery,bryce,3556,#bryceeldridge-MLB-SF-78,,1759338954161.0,True,mlb,,[],,,Eldridge,,VA,,A,,79,,,bryceeldridge,Madison (VA),60f671cb-74c0-4c99-ab48-df42d9b35510,,,,SF,,,Vienna,"{'bat_hand': 'L', 'channel_id': '1273457504407273472', 'full_name': 'Bryce Eldridge', 'pro_debut': '2025-09-15', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-16T14:21:37+00:00'}",Bryce,Out,,,,1B,eldridge,78.0,Bryce Eldridge,223,Wrist,18883.0
,3.0,,,USA,New Mexico State,,1996-09-12,,kyle,1602,#kylebradish-MLB-BAL-38,,1759127433388.0,True,mlb,,[],,,Bradish,,AZ,,A,,75,,,kylebradish,Millennium (AZ),ac593ed6-be4c-46be-b1ab-9a18da4338cf,,,,BAL,E5AFC7412149,,Peoria,"{'bat_hand': 'R', 'channel_id': '1157161392634101760', 'full_name': 'Kyle Bradish', 'pro_debut': '2022-04-29', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-26T18:17:25+00:00'}",Kyle,,680694.0,,,SP,bradish,38.0,Kyle Bradish,215,,15482.0
,7.0,,,USA,Iowa,,,,matt,2548,#mattdermody-MLB-BOS-67,,1686940512713.0,True,mlb,,[],,,Dermody,,IA,,A,,77,,,mattdermody,Norwalk (IA),e29c9a56-e540-4e6e-9094-3fd4c77163a7,,,,BOS,BFC2D68A59BE,,Norwalk,"{'bat_hand': 'R', 'full_name': 'Matt Dermody', 'pro_debut': '2016-09-03', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'L', 'updated': '2023-06-08T19:35:32+00:00'}",Matt,,571616.0,,,RP,dermody,67.0,Matt Dermody,190,,14540.0
,3.0,,,USA,Heartland Community College (IL),,1995-10-08,,colin,2379,#colinholderman-MLB-PIT-35,,1757715360490.0,True,mlb,,[],,,Holderman,,IL,,A,,78,,,colinholderman,Bradley-Bourbonnais (IL),f9f85708-f049-4b86-9f93-cf3c7f854b22,,,,PIT,B1DF2CC9FC6B,,Bourbannais,"{'bat_hand': 'R', 'channel_id': '1157161311793086464', 'full_name': 'Colin Holderman', 'pro_debut': '2022-05-15', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T02:35:38+00:00'}",Colin,,670059.0,,,RP,holderman,35.0,Colin Holderman,230,,17820.0
,7.0,,,USA,Florida Gulf Coast,,1987-04-16,,richard,1021,#richardbleier-MLB-BOS-35,,1739652917253.0,True,mlb,,[],,,Bleier,,FL,,A,,75,,,richardbleier,South Plantation (FL),d4a51b76-6695-429c-92fb-c2520b61f4bf,,,,BOS,,,Davie,"{'bat_hand': 'L', 'full_name': 'Richard Bleier', 'pro_debut': '2016-05-30', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'L', 'updated': '2023-07-17T21:57:04+00:00'}",Richard,,542947.0,,,RP,bleier,35.0,Richard Bleier,215,,10692.0
,,,,DOM,,,,,rony,1569,#ronygarcia-MLB-DET-51,,,True,mlb,,[],,,García,,,,A,,75,,,ronygarcia,,bb0d1a5d-a2ca-45bd-96c8-58ace036f69b,,,,DET,,,Mao,"{'bat_hand': 'R', 'full_name': 'Rony García', 'pro_debut': '2020-07-28', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-11-10T19:55:02+00:00'}",Rony,,665621.0,,,SP,garcia,51.0,Rony García,200,,
,1.0,,,USA,Columbus State,,1996-10-21,,kolton,2734,#koltoningram-MLB-SF-56,,1738271431406.0,False,mlb,,[],,,Ingram,,GA,,MIN,,69,,,koltoningram,Luella (GA),14a1a623-b483-4ec1-b899-213763661008,,,,SF,A91F98235780,,Columbus,"{'bat_hand': 'L', 'full_name': 'Kolton Ingram', 'pro_debut': '2023-06-17', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2024-07-09T02:58:42+00:00'}",Kolton,,688427.0,,,RP,ingram,56.0,Kolton Ingram,170,,18262.0
,6.0,,,USA,Northeastern,,1995-06-12,,aaron,1645,#aaroncivale-MLB-CHC-38,,1758783908824.0,True,mlb,,[],,,Civale,,CT,,A,,73,,,aaroncivale,Loomis Chaffee (CT),1b65d697-deeb-4eec-8bc3-c704a21c7cda,,,,CHC,BFE430B567C5,,East Windsor,"{'bat_hand': 'R', 'channel_id': '1157161630719574016', 'full_name': 'Aaron Civale', 'pro_debut': '2019-06-22', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-01T17:14:08+00:00'}",Aaron,,650644.0,,,SP,civale,38.0,Aaron Civale,245,,14366.0
,4.0,,,USA,Santa Clara,,1994-12-28,,mitch,2203,#mitchwhite-MLB-MIL-58,,1731733504362.0,True,mlb,,[],,,White,,CA,,A,,75,,,mitchwhite,Bellarmine College Prep (CA),1c348b6b-45da-4e34-a248-b596fea0e0d5,,,,MIL,D1346F2F5A0F,,San Jose,"{'bat_hand': 'R', 'full_name': 'Mitch White', 'pro_debut': '2020-08-28', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-05-12T16:01:17+00:00'}",Mitch,,669952.0,,,RP,white,58.0,Mitch White,210,,14352.0
,,,,VEN,,,,,francisco,1159,#franciscomorales-MLB-PHI-69,,,False,mlb,,[],,,Morales,,,,MIN,,76,,,franciscomorales,,de5294b2-3ebb-4d11-9aad-cad9a1ddd13f,,,,PHI,,,San Juan de los Morros,"{'bat_hand': 'R', 'full_name': 'Francisco Morales', 'pro_debut': '2022-05-09', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2022-08-03T13:37:11+00:00'}",Francisco,,672839.0,,,RP,morales,69.0,Francisco Morales,185,,
,4.0,,,USA,,,1996-03-25,,tucker,1059,#tuckerdavidson-MLB-BAL-67,,1734069634451.0,True,mlb,,[],,,Davidson,,TX,,A,,74,,,tuckerdavidson,Tascosa (TX),da381d9b-e6c5-4be2-9d24-ae1cf8f42259,,,,BAL,F199B15168AD,,Amarillo,"{'bat_hand': 'L', 'full_name': 'Tucker Davidson', 'pro_debut': '2020-09-26', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-09-28T17:06:46+00:00'}",Tucker,,656353.0,,,RP,davidson,67.0,Tucker Davidson,215,,15265.0
,3.0,,,USA,,,1998-06-28,Inflammation,josh,1744,#joshwinckowski-MLB-BOS-25,,1752786334362.0,True,mlb,,[],,,Winckowski,,OH,,D60,,76,,,joshwinckowski,Estero (FL),168e458f-a73b-4361-b25b-31fe1eb50e61,,,,BOS,B4AD1806B436,,Toledo,"{'bat_hand': 'R', 'channel_id': '1157161462003695616', 'full_name': 'Josh Winckowski', 'pro_debut': '2022-05-28', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-06-24T02:59:29+00:00'}",Josh,IL60,670174.0,,,RP,winckowski,25.0,Josh Winckowski,215,Elbow,17171.0
,8.0,,,USA,Vanderbilt,,1991-10-31,,tony,1217,#tonykemp-MLB-BAL-12,,1747323934022.0,True,mlb,,[],,,Kemp,,TN,,A,,66,,,tonykemp,Centennial (TN),34b9b68f-3fcf-402c-8008-0414696a8b7c,,,,BAL,5E064110B53F,,Franklin,"{'bat_hand': 'L', 'full_name': 'Tony Kemp', 'pro_debut': '2016-05-17', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-03-27T18:07:40+00:00'}",Tony,,643393.0,,,2B,kemp,12.0,Tony Kemp,160,,13290.0
,7.0,,,USA,Bacone College,,1990-02-10,,tim,1980,#timhill-MLB-NYY-41,,1754583037744.0,True,mlb,,[],,,Hill,,CA,,A,,76,,,timhill,Granada Hills (CA),934c78d9-d33a-4ad0-9fbf-ffe6548d2783,,,,NYY,2B7CD169AB9E,,Mission Hills,"{'bat_hand': 'R', 'channel_id': '1157161476310466560', 'full_name': 'Tim Hill', 'pro_debut': '2018-03-29', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-05-17T19:39:05+00:00'}",Tim,,657612.0,,,RP,hill,41.0,Tim Hill,210,,15248.0
,1.0,,,USA,Truett McConnell (GA),,1997-11-06,,fraser,3220,#fraserellard-MLB-CWS-55,,1758721804954.0,True,mlb,,[],,,Ellard,,GA,,A,,75,,,fraserellard,King's Ridge Christian School (GA),d44032f9-41bf-4d35-8c89-d2de3a67e420,,,,CWS,82E14A28AF28,,Roswell,"{'bat_hand': 'L', 'channel_id': '1157161289294839808', 'full_name': 'Fraser Ellard', 'pro_debut': '2024-07-30', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-09-01T15:07:20+00:00'}",Fraser,,686642.0,,,RP,ellard,55.0,Fraser Ellard,220,,19766.0
,,,,USA,Texas,,,,mark,2613,#markpayton-MLB-CWS-46,,1701125750221.0,True,mlb,,[],,,Payton,,IL,,A,,68,,,markpayton,St. Rita (IL),0fa5b378-895d-4ce9-90f3-aec093dbca87,,,,CWS,,,Orland Park,"{'bat_hand': 'L', 'full_name': 'Mark Payton', 'pro_debut': '2020-08-22', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-09-24T20:45:47+00:00'}",Mark,,592622.0,,,RF,payton,46.0,Mark Payton,180,,16519.0
,13.0,,,USA,Nova Southeastern,,1987-08-21,,jd,1717,#jdmartinez-MLB-NYM-28,,1751060431846.0,True,mlb,,[],,,Martinez,,FL,,A,,75,,,jdmartinez,Charles W Flanagan (FL),f423faea-d0e3-49b6-b347-52ec5cfac66a,,,,NYM,30410CBDDCDC,,Miami,"{'bat_hand': 'R', 'channel_id': '1157161685899837440', 'full_name': 'J.D. Martinez', 'pro_debut': '2011-07-30', 'rookie_year': '2011', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-09-05T19:21:35+00:00'}",J.D.,,502110.0,,,DH,martinez,28.0,J.D. Martinez,230,,11460.0
,8.0,,,USA,Oral Roberts,,1992-01-15,,chichi,2436,#chichigonzalez-MLB-MIA-17,,1697490616347.0,True,mlb,,[],,,González,,FL,,A,,75,,,chichigonzalez,Boca Raton Community (FL),e50ba0dc-3c6c-43e7-ba03-48f3ecef10c5,,,,MIA,455E3090CEE1,,Delray Beach,"{'bat_hand': 'R', 'full_name': 'Chi Chi González', 'pro_debut': '2015-05-30', 'rookie_year': '2015', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-09-19T20:32:44+00:00'}",Chi Chi,,592346.0,,,SP,gonzalez,17.0,Chi Chi González,210,,12966.0
,,,,USA,Missouri State,,,,ross,2377,#rossdetwiler-MLB-CIN-75,,,True,mlb,,[],,,Detwiler,,MO,,A,,77,,,rossdetwiler,Wentzville (MO),2d0e1c28-a11c-49db-a59e-0c00e7b55ae0,,,,CIN,,,St. Louis,"{'bat_hand': 'R', 'full_name': 'Ross Detwiler', 'pro_debut': '2007-09-07', 'rookie_year': '2007', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-07-29T16:54:08+00:00'}",Ross,,446321.0,,,RP,detwiler,75.0,Ross Detwiler,210,,
,12.0,,,USA,Vanderbilt,,1989-11-07,,sonny,1855,#sonnygray-MLB-STL-54,,1758807010737.0,True,mlb,,[],,,Gray,,TN,,A,,70,,,sonnygray,Smyrna (TN),b004cc6c-f00c-4b5d-917a-ee1abf92179d,,,,STL,D3DADB56DEE4,,Nashville,"{'bat_hand': 'R', 'channel_id': '1157161267606093824', 'full_name': 'Sonny Gray', 'pro_debut': '2013-07-10', 'rookie_year': '2013', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-24T23:53:06+00:00'}",Sonny,,543243.0,,,SP,gray,54.0,Sonny Gray,190,,12129.0
,3.0,,,USA,Oxnard (CA),,1997-04-17,,logan,1604,#logangillaspie-MLB-SD-71,,1751511959211.0,False,mlb,,[],,,Gillaspie,,CA,,D15,,74,,,logangillaspie,Frontier (CA),f996a507-3ac6-41b8-943b-657362620a84,,,,SD,3B397DA79F8E,,Bakersfield,"{'bat_hand': 'R', 'channel_id': '1157161574163578880', 'full_name': 'Logan Gillaspie', 'pro_debut': '2022-05-17', 'rookie_year': '2022', 'status': 'D15', 'throw_hand': 'R', 'updated': '2025-06-24T05:07:27+00:00'}",Logan,,670810.0,,,RP,gillaspie,71.0,Logan Gillaspie,215,,17701.0
,0.0,,,USA,Tennessee,,2001-06-08,,blade,3437,#bladetidwell-MLB-SF,,1758597937189.0,True,mlb,,[],,,Tidwell,,TN,,A,,76,,,bladetidwell,Loretto (TN),0f6ab9aa-3a45-411b-8555-82eb99b29f94,,,,SF,C046C1EE1D519F48,,Columbia,"{'bat_hand': 'R', 'channel_id': '1224172775527161856', 'full_name': 'Blade Tidwell', 'pro_debut': '2025-05-04', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:34:08+00:00'}",Blade,,,,,SP,tidwell,,Blade Tidwell,207,,17944.0
